"","res_id","date_gen","date_checkin","nights","guests","ori_id","agency_id","mean_price_per_night","status"
"41756",10606326,2021-03-27,2021-04-23,1,2,11,"Agencia_2",29.99,"Cancelled"
"41757",10592495,2021-03-23,2021-04-02,1,2,11,"Agencia_2",29.99,"Cancelled"
"41758",10592568,2021-03-23,2021-03-26,1,2,11,"Agencia_2",41,"Cancelled"
"41759",10592617,2021-03-23,2021-04-11,1,2,11,"Agencia_2",43.19,"Cancelled"
"41760",10603894,2021-03-26,2021-04-11,1,2,11,"Agencia_2",29.99,"Cancelled"
"41761",10592958,2021-03-23,2021-03-24,1,2,11,"Agencia_2",29.99,"Cancelled"
"41762",10592977,2021-03-23,2021-03-31,1,1,11,"Agencia_2",38.2,"Cancelled"
"41763",10835595,2021-05-19,2021-05-20,2,1,11,"Agencia_2",63,"Cancelled"
"41764",10603968,2021-03-26,2021-03-28,1,2,11,"Agencia_2",29.99,"Cancelled"
"41765",10593095,2021-03-23,2021-04-10,1,2,11,"Agencia_2",29.99,"Cancelled"
"41766",10834911,2021-05-18,2021-06-13,3,2,11,"Agencia_2",33.15,"Cancelled"
"41767",10593225,2021-03-23,2021-04-03,1,2,11,"Agencia_2",29.99,"Cancelled"
"41768",10593222,2021-03-23,2021-04-04,1,2,11,"Agencia_2",29.99,"Cancelled"
"41769",10593371,2021-03-23,2021-04-03,1,2,11,"Agencia_2",29.99,"Cancelled"
"41770",10601028,2021-03-25,2021-03-28,1,2,11,"Agencia_2",29.99,"Cancelled"
"41771",10600994,2021-03-25,2021-03-26,1,3,11,"Agencia_2",56.01,"Cancelled"
"41772",10593480,2021-03-23,2021-03-25,1,2,11,"Agencia_2",29.99,"Cancelled"
"41773",10606346,2021-03-27,2021-04-16,1,2,11,"Agencia_2",29.99,"Cancelled"
"41774",10603971,2021-03-26,2021-03-31,1,2,11,"Agencia_2",29.99,"Cancelled"
"41775",10604074,2021-03-26,2021-04-09,1,2,11,"Agencia_2",29.99,"Cancelled"
"41776",10601154,2021-03-25,2021-04-10,1,2,11,"Agencia_2",29.99,"Cancelled"
"41777",10601272,2021-03-25,2021-04-04,1,2,11,"Agencia_2",29.99,"Cancelled"
"41778",10601383,2021-03-25,2021-04-04,1,2,11,"Agencia_2",29.99,"Cancelled"
"41779",10601427,2021-03-25,2021-03-31,2,2,11,"Agencia_2",29.995,"Cancelled"
"41780",11466280,2021-08-22,2021-08-23,2,2,11,"Agencia_2",79.495,"Cancelled"
"41781",10612519,2021-03-29,2021-04-23,1,2,11,"Agencia_2",29.99,"Cancelled"
"41782",10837919,2021-05-19,2021-05-21,2,2,11,"Agencia_2",56,"Cancelled"
"41783",10607329,2021-03-27,2021-04-02,2,3,11,"Agencia_2",56.99,"Cancelled"
"41784",10607443,2021-03-27,2021-04-15,1,2,11,"Agencia_2",29.99,"Cancelled"
"41785",10612756,2021-03-29,2021-04-01,1,2,11,"Agencia_2",29.99,"Cancelled"
"41786",10607505,2021-03-27,2021-04-18,3,2,11,"Agencia_2",11.2433333333333,"Cancelled"
"41787",10615754,2021-03-30,2021-04-03,2,2,11,"Agencia_2",46.295,"Cancelled"
"41788",10618107,2021-03-31,2021-04-04,1,2,11,"Agencia_2",18.9,"Cancelled"
"41789",10612799,2021-03-29,2021-04-09,2,2,11,"Agencia_2",37.505,"Cancelled"
"41790",10607655,2021-03-27,2021-04-16,1,2,11,"Agencia_2",29.99,"Cancelled"
"41791",10612876,2021-03-29,2021-04-01,2,2,11,"Agencia_2",40.495,"Cancelled"
"41792",10615762,2021-03-30,2021-04-04,1,2,11,"Agencia_2",17.49,"Cancelled"
"41793",10615783,2021-03-30,2021-04-04,1,2,11,"Agencia_2",17.49,"Cancelled"
"41794",10618186,2021-03-31,2021-04-02,2,2,11,"Agencia_2",25.005,"Cancelled"
"41795",10615829,2021-03-30,2021-04-05,2,2,11,"Agencia_2",32.405,"Cancelled"
"41796",10612954,2021-03-29,2021-03-29,1,2,11,"Agencia_2",29.99,"Cancelled"
"41797",10611471,2021-03-29,2021-03-30,1,2,11,"Agencia_2",29.99,"Cancelled"
"41798",10612974,2021-03-29,2021-04-11,1,2,11,"Agencia_2",29.99,"Cancelled"
"41799",10613037,2021-03-29,2021-04-01,1,2,11,"Agencia_2",35.99,"Cancelled"
"41800",10613061,2021-03-29,2021-03-31,1,2,11,"Agencia_2",29.99,"Cancelled"
"41801",10618257,2021-03-31,2021-04-02,1,2,11,"Agencia_2",22.99,"Cancelled"
"41802",10618258,2021-03-31,2021-04-02,1,2,11,"Agencia_2",22.99,"Cancelled"
"41803",10613253,2021-03-29,2021-04-01,1,2,11,"Agencia_2",29.99,"Cancelled"
"41804",10613294,2021-03-29,2021-04-11,1,2,11,"Agencia_2",29.99,"Cancelled"
"41805",10618298,2021-03-31,2021-04-15,2,2,11,"Agencia_2",29.995,"Cancelled"
"41806",10613334,2021-03-29,2021-04-02,1,3,11,"Agencia_2",31.19,"Cancelled"
"41807",10616182,2021-03-30,2021-04-04,1,2,11,"Agencia_2",22.5,"Cancelled"
"41808",10613291,2021-03-29,2021-04-06,1,2,11,"Agencia_2",29.99,"Cancelled"
"41809",10616381,2021-03-30,2021-04-21,7,2,11,"Agencia_2",21.6085714285714,"Confirmed"
"41810",10618406,2021-03-31,2021-04-08,1,2,11,"Agencia_2",29.99,"Cancelled"
"41811",11469669,2021-08-22,2021-08-25,4,2,11,"Agencia_2",86.8575,"Cancelled"
"41812",10618426,2021-03-31,2021-04-03,2,2,11,"Agencia_2",22.955,"Cancelled"
"41813",10613654,2021-03-29,2021-04-30,1,2,11,"Agencia_2",29.99,"Cancelled"
"41814",10607926,2021-03-28,2021-04-03,2,2,11,"Agencia_2",36.905,"Cancelled"
"41815",10617527,2021-03-30,2021-04-02,2,2,11,"Agencia_2",22.755,"Cancelled"
"41816",10619643,2021-03-31,2021-04-01,1,2,11,"Agencia_2",29.99,"Cancelled"
"41817",10608019,2021-03-28,2021-04-11,1,2,11,"Agencia_2",29.99,"Cancelled"
"41818",10608314,2021-03-28,2021-04-05,2,2,11,"Agencia_2",29.995,"Cancelled"
"41819",10608333,2021-03-28,2021-04-04,1,2,11,"Agencia_2",21.09,"Confirmed"
"41820",10608410,2021-03-28,2021-05-01,1,2,11,"Agencia_2",29.99,"Cancelled"
"41821",10608449,2021-03-28,2021-04-05,1,2,11,"Agencia_2",29.99,"Cancelled"
"41822",10838673,2021-05-19,2021-08-30,6,2,11,"Agencia_2",82.5916666666667,"Confirmed"
"41823",10608692,2021-03-28,2021-04-04,1,2,11,"Agencia_2",11.19,"Cancelled"
"41824",10608702,2021-03-28,2021-04-01,1,2,11,"Agencia_2",29.99,"Cancelled"
"41825",10604203,2021-03-26,2021-03-28,1,2,11,"Agencia_2",26.99,"Cancelled"
"41826",10608797,2021-03-28,2021-04-01,2,2,11,"Agencia_2",31.205,"Cancelled"
"41827",10838887,2021-05-19,2021-06-26,4,2,11,"Agencia_2",48.025,"Confirmed"
"41828",10609246,2021-03-28,2021-05-01,1,2,11,"Agencia_2",29.99,"Cancelled"
"41829",10609237,2021-03-28,2021-04-23,1,2,11,"Agencia_2",29.99,"Cancelled"
"41830",10609323,2021-03-28,2021-04-23,1,2,11,"Agencia_2",29.99,"Cancelled"
"41831",10609351,2021-03-28,2021-04-08,1,3,11,"Agencia_2",42.01,"Cancelled"
"41832",12806751,2022-02-07,2022-03-11,2,2,11,"Agencia_2",117.5,"Cancelled"
"41833",10609352,2021-03-28,2021-04-01,3,2,11,"Agencia_2",23.1933333333333,"Cancelled"
"41834",10609521,2021-03-28,2021-05-01,1,2,11,"Agencia_2",29.99,"Cancelled"
"41835",10609540,2021-03-28,2021-04-08,1,2,11,"Agencia_2",29.99,"Cancelled"
"41836",10617006,2021-03-30,2021-04-30,1,2,11,"Agencia_2",29.99,"Cancelled"
"41837",10609808,2021-03-28,2021-04-01,1,2,11,"Agencia_2",29.99,"Cancelled"
"41838",10617170,2021-03-30,2021-04-03,1,2,11,"Agencia_2",18,"Cancelled"
"41839",10836085,2021-05-19,2021-06-04,1,2,11,"Agencia_2",29.99,"Cancelled"
"41840",10617234,2021-03-30,2021-04-01,1,2,11,"Agencia_2",23,"Cancelled"
"41841",10836268,2021-05-19,2021-05-21,2,2,11,"Agencia_2",68,"Cancelled"
"41842",10618920,2021-03-31,2021-04-03,1,2,11,"Agencia_2",53,"Confirmed"
"41843",10610203,2021-03-29,2021-04-02,3,2,11,"Agencia_2",31.2933333333333,"Cancelled"
"41844",10836322,2021-05-19,2021-05-27,1,2,11,"Agencia_2",45.9,"Cancelled"
"41845",10836456,2021-05-19,2021-06-13,3,2,11,"Agencia_2",33.15,"Cancelled"
"41846",10610409,2021-03-29,2021-05-01,1,2,11,"Agencia_2",29.99,"Cancelled"
